supplier_id,pos,spend,on_time_rate,avg_lt,defects_ppm,fin,geo,single_src_rate,risk_score,profit_impact,supply_risk,kraljic_segment
SUP-0001,115,730701.99,0.9826086956521739,18.556521739130435,58.504347826086956,0.824695652173913,0.27391304347826084,0.02608695652173913,0.3015619158400338,-0.6843062270237497,0.06670614227552096,Bottleneck
SUP-0002,110,600698.91,0.990909090909091,19.954545454545453,48.92727272727273,0.8222727272727273,0.32063636363636366,0.045454545454545456,0.275258156646406,-1.1663283521523402,-0.4266274259280849,Routine
SUP-0003,121,812323.08,1.0,16.173553719008265,50.18181818181818,0.8535537190082645,0.3150413223140496,0.10743801652892562,0.28182824288379,-0.38167361818777484,-0.3034038188750196,Routine
SUP-0004,107,774104.76,0.9906542056074766,16.018691588785046,43.4392523364486,0.9071962616822429,0.30588785046728967,0.04672897196261682,0.24352975881907232,-0.5233785364500536,-1.0217014455128604,Routine
SUP-0005,98,868706.0,0.9795918367346939,15.255102040816327,48.56122448979592,0.8410204081632653,0.28867346938775507,0.09183673469387756,0.27653738732818217,-0.17261845642272025,-0.40263513523873556,Routine
SUP-0006,89,577631.94,1.0,16.808988764044944,47.337078651685395,0.8702247191011236,0.3070786516853933,0.07865168539325842,0.26358981151203953,-1.2518554788917795,-0.6454701509467475,Routine
SUP-0007,105,904850.91,0.9904761904761905,16.733333333333334,44.542857142857144,0.8354285714285714,0.29419047619047617,0.06666666666666667,0.25555584372932083,-0.03860127520838546,-0.7961492217178027,Routine
SUP-0008,124,508267.29000000004,0.9919354838709677,16.95967741935484,46.12903225806452,0.8745161290322581,0.3004032258064516,0.056451612903225805,0.2567909221927312,-1.5090439701321474,-0.7729850169028015,Routine
SUP-0009,101,701644.78,1.0,20.04950495049505,53.59405940594059,0.8332673267326732,0.29099009900990097,0.07920792079207921,0.28759972039539483,-0.7920438138140604,-0.195158317779623,Routine
SUP-0010,97,644232.0,0.9896907216494846,15.855670103092784,42.55670103092783,0.8660824742268042,0.3009278350515464,0.07216494845360824,0.2474943315634015,-1.004917464385572,-0.9473448942699303,Routine
SUP-0011,112,708660.49,0.9732142857142857,17.383928571428573,56.8125,0.8264285714285714,0.30312500000000003,0.11607142857142858,0.3176764190514661,-0.7660311420874684,0.3689376716399725,Bottleneck
SUP-0012,116,1194376.63,0.9741379310344828,15.03448275862069,44.793103448275865,0.8572413793103448,0.29672413793103447,0.09482758620689655,0.26476163843209777,1.0348948514509615,-0.6234922446127579,Leverage
SUP-0013,120,578254.1900000001,0.9416666666666667,19.85,63.88333333333333,0.7974166666666667,0.3095,0.08333333333333333,0.35448197258399655,-1.2495483161125491,1.059235013561762,Bottleneck
SUP-0014,107,1199143.88,0.9906542056074766,21.364485981308412,72.21495327102804,0.8142990654205607,0.32654205607476633,0.07476635514018691,0.3689947495541485,1.0525707401762077,1.3314257675343977,Strategic
SUP-0015,111,880611.0599999999,0.963963963963964,16.234234234234233,48.63963963963964,0.8562162162162162,0.31261261261261264,0.06306306306306306,0.28125320579899976,-0.12847717668547595,-0.3141887829100344,Routine
SUP-0016,106,801522.54,0.9811320754716981,15.584905660377359,49.83018867924528,0.8523584905660376,0.3088679245283019,0.0660377358490566,0.2797890630801042,-0.42171958666280107,-0.34164914500333765,Routine
SUP-0017,103,690052.4400000001,0.8446601941747572,22.349514563106798,77.92233009708738,0.7666990291262136,0.3187378640776699,0.07766990291262135,0.44511611913289895,-0.8350255982611147,2.759101051298699,Bottleneck
SUP-0018,97,1032539.2,1.0,14.969072164948454,44.371134020618555,0.8715463917525774,0.31443298969072164,0.07216494845360824,0.2528404296924733,0.434838130225976,-0.8470774896542231,Leverage
